,0,Irony,Offensive,Emotion,Stress Score,Topics
114766,"dear sir you also address modi only then looks you are also modi lehar man like you holding position upper most delhi govt talks with logic scares more,1",non_irony,not-offensive,anger,488.78256664425714,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
36506,"this the major failing modi govt that why have listen poison from these scums even those who were being tried for were acquitted for poor prosecution though guilt was evident ,-1",non_irony,offensive,anger,783.4523799543994,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
22951,"educated and emotionally attached religion and also have choose this time
hinduthva agenda currapted agenda both are not good for country but still will vote for modi because can better work than other party and also hate you,-1",non_irony,not-offensive,anger,-166.68595246603414,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
139190,"issue our poor government let congress win and will take revenge three times its only incompetent modi,1",irony,offensive,anger,419.2048704377901,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
38296,"the appellate tribunal had directed list the matter april for next hearing ,0",non_irony,not-offensive,anger,181.56879124602798,"['news_&_social_concern', 'sports', 'diaries_&_daily_life']"
155053,"dear mam biggggg fan yours but will still vote modi,0",non_irony,not-offensive,joy,243.90290736673902,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
97930,"looks like modi did surgical strike against your stand comedy but you are not comedian not sure about stand part though ,-1",non_irony,not-offensive,anger,233.60837469544938,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
79148,"get lost modi you are cheating common people helping channel owners,-1",irony,not-offensive,anger,110.541420966241,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
109709,"forgot tell kcr and modi are helping and jagan complained this guy joker,-1",non_irony,not-offensive,anger,113.73488396292002,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
78986,"modi till feb 2014 was looking upto mamata for alliance his kolkata rally modi claimed vote for bjp 2014 vote for tmc 2016 till july 2014 modi was praising mamata ,0",irony,not-offensive,joy,420.2621995651311,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
11895,"just duel between straight talks and jumlalies modirahuland country now talking language whether eastnortheast south west north centre mumbai congress sanjay nirupam ,1",non_irony,not-offensive,anger,-293.6227861514309,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
102391,"bjp going lose more then seats due modi failure all fronts loose talker and people only enjoy his theatrical speeches order get jokers jokes which never hide failure,1",irony,not-offensive,anger,300.10132323404207,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
34725,"how many poor folks got rich under modi rule,1",non_irony,not-offensive,sadness,117.46359567692201,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
94021,"questioning not antinational propagated feku modi don’ troll who question the basis science knowledge understanding question everything the brain meant for that modi gang needs one contact below ⁦ ⁦ ⁦ ,0",non_irony,not-offensive,anger,391.32160842267314,"['news_&_social_concern', 'science_&_technology', 'celebrity_&_pop_culture']"
19154,"contracts worth whopping lakh crore rupees equip our armed forces with new guns jackets tanks vessels helicopters sonar radar systems aircrafts simulator and much more ,1",irony,not-offensive,joy,-84.88443268460803,"['science_&_technology', 'business_&_entrepreneurs', 'news_&_social_concern']"
103428,"how ironical that you know much about article 370 constitution but nothing about riots gujarat
why dont you study that well not part your curriculum hint read riots 1969 modi and never knew that 2002 came after 2014 before 2019,1",non_irony,not-offensive,anger,273.02302542856137,"['news_&_social_concern', 'learning_&_educational', 'diaries_&_daily_life']"
159015,"modi pushes for second term read this new profile who has helped the bjp spread where had little presence who has stitched together unlikely alliances that could once again prove crucial only ,-1",irony,not-offensive,optimism,289.70361486725994,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
62228,"before there were few paid news now for last years there are dozens paid propagandist channels for modi and bjp
,-1",irony,not-offensive,anger,-126.33486069549107,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
151553,"hindu modi feeding soldiers with yellow max ,0",irony,not-offensive,anger,393.45437405875504,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
162831,"its bjd ruled state the blame lies naveen patnaik and not modi nondistribution cylinders,0",non_irony,not-offensive,anger,370.1611765519681,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
160903,"why pakistan want congress government india think vote only narendra modi bjp,0",non_irony,not-offensive,anger,62.13103809342,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
125856,"the fact that modi too from backward classobcchaiwala chowkidar seems been realised now many among hindusthis election thus may get reduced ुौे contest between upper casteऊंी ाि lower casteनिी ाि,1",non_irony,not-offensive,sadness,-78.686663991959,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
83980,"swami you are being used modi shah and thrown out ,0",non_irony,not-offensive,anger,55.65833335406303,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
158957,"never affirmed bakht neither hate congress but your puerile justifications deserve this only answer see how weak rahul gandhi has become that sent mani shankar aiyar pak seek isis help defeating modi masoods recent isro blooper point case,-1",non_irony,not-offensive,anger,530.3679349000573,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
114480,"the position ₹ against has improved and rupee has strengthen what was earlier earlier had crossed now its back 6869 but then facts not your forte because you are desperate stop modi the desperation showing you good luck,1",non_irony,not-offensive,anger,93.4618799864289,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
10678,"the income support promised congress bluff announcement modi government already giving rs106800year through dbt subsidies simple arithmetic rs72000 for five crore families works out rs36 lakh crore which less than 23rd what being given,-1",non_irony,not-offensive,joy,884.8634546088398,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
78966,"modi means empowering nationgod bless ,0",irony,not-offensive,optimism,127.44578474032599,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
117275,"facts biggest indianeconomic institutions unemployment rate45 year high lows
farm income 14year new investments14 year economic growth5 year
fdi growth5 year
tax collection shortfall 4lcrore
defence budget allocationgdp57 hai mumkin hai ,1",non_irony,not-offensive,sadness,763.4674845896795,"['business_&_entrepreneurs', 'news_&_social_concern', 'science_&_technology']"
31538,"considering the issues you want average indian consider before voting the modi govt far better than previous upa govt ujjwala ayush home for all electricity for all stand against terror macroeconomic reforms
this enough for people vote for modi,1",non_irony,not-offensive,optimism,587.7563786393697,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
53694,"precisely why all our eminent journalists are ranting about everything related govt modi they know stays for another term its curtains for them,1",irony,not-offensive,anger,245.1484630138179,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
95630,"time has come remove modi else ready for more unemployment polarization and gareebi,1",non_irony,not-offensive,anger,176.20113980003396,"['news_&_social_concern', 'diaries_&_daily_life', 'business_&_entrepreneurs']"
141475,"you have made the biggest mistake handing hand the paper people are not happy with you they are with narendra modi,-1",non_irony,not-offensive,anger,67.090722241374,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
96106,"imran
also
modified,0",non_irony,not-offensive,joy,207.65804895182498,"['celebrity_&_pop_culture', 'film_tv_&_video', 'diaries_&_daily_life']"
39608,"again for the last time there difference between saying you are stupid and dont behave stupid manner the second means admission intelligence next show proof modi said lakhs doonga crore jobs finally dont call bhakt aint one,-1",non_irony,offensive,anger,343.10923189917423,"['news_&_social_concern', 'learning_&_educational', 'youth_&_student_life']"
84531,"there are very serious allegations corruption against top most leaders ruling bjp prime minister claimed before polls khaunga khane dunga ironically modi supports protects such malpractitioners after polls
,1",irony,not-offensive,anger,556.1199756949653,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
5735,"modi didnt tell them his hate speeches did condemn that act goons goons whether congress bjp,-1",non_irony,not-offensive,anger,184.2795093056769,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
44491,"modi shares more details ,1",non_irony,not-offensive,joy,124.28541229938101,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
101780,"‘sarab’ acronym draws opposition ire ,0",irony,not-offensive,anger,96.49128374847696,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
156494,"there slight difference modi was not incumbent any seat was fighting for the first time rahul incumbent and announced that will run from wayanad only after smriti irani announced she will run against him amethi,1",non_irony,not-offensive,anger,678.5478342973323,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
143401,"know libya your right say for judgment own side the series was good story common man but the story modi common man for wipe all bad things sycolgy brain wash never forget 2002 for just said truth and its right nothing support,1",non_irony,not-offensive,optimism,380.07943476959895,"['film_tv_&_video', 'news_&_social_concern', 'celebrity_&_pop_culture']"
129514,"would like see leaders opposition first modi saheb and second one kejriwal delhi then will able see their true colour ,1",non_irony,not-offensive,optimism,544.2059479936871,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
75524,"its not complete vedio said situation war against terror you are not with modi then against country,-1",non_irony,not-offensive,anger,478.3713352379573,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
6381,"rahul will divide 72000 each the poorest every year but not those back accounts which modi has open wow anand dediye lounde ,1",non_irony,not-offensive,anger,140.19672212084487,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
155225,"chowkidar bankar agar mahilaonko protection nai sakte usse achha aap pakistan chale jao modi govt behind protect ladies hope they work much more than any sector,1",irony,not-offensive,optimism,-107.03630940135396,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
41139,"wait for modis message wish may related indochina loc dispute because china has finished 30000 china maps which explained arunachal pradesh the part india this step may have big hidden fact,-1",irony,not-offensive,sadness,721.716954917979,"['news_&_social_concern', 'science_&_technology', 'business_&_entrepreneurs']"
80857,"modi full form mass messaging the highest level what blockbuster beginning the campaign batting like sehwag from the first ball set the tone,1",non_irony,not-offensive,optimism,416.13404988512696,"['news_&_social_concern', 'celebrity_&_pop_culture', 'sports']"
20259,"all the very best tejasvi suryau deserve and best opportunity work hard for team modi,1",non_irony,not-offensive,joy,-8.203675365678027,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
130783,"modi all love you and want see again india with heartly,1",non_irony,not-offensive,joy,161.742873185125,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
97658,"fight from varanasi than modi need search some other seat modi toh deposit bhi japt jayege,-1",non_irony,not-offensive,anger,255.131708809244,"['news_&_social_concern', 'sports', 'celebrity_&_pop_culture']"
142690,"who knows that officer may chidambaram’ insider who may leak critical information about the investigation congress camp lot congress crooks involved nirav modi bank fraud,0",non_irony,not-offensive,anger,574.686203290839,"['news_&_social_concern', 'business_&_entrepreneurs', 'celebrity_&_pop_culture']"
106053,"hope youre right someone said while back that nation elects leader like modi when has death wish sadly was part that 2014 was blinded the vikas purush image sold but realized 2015 itself hope dont make the same mistake again,-1",non_irony,not-offensive,sadness,406.78203856318805,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
66264,"team already left for london get nirav modi extradited hope court rules our favour,0",non_irony,not-offensive,optimism,-3.6170438404080407,"['news_&_social_concern', 'sports', 'celebrity_&_pop_culture']"
114786,"average fdi nda 522 upa1 182 billion
upa2 384 billion achievements the modi government  make india,-1",irony,not-offensive,joy,442.86603093820906,"['news_&_social_concern', 'business_&_entrepreneurs', 'other_hobbies']"
57408,"only modi the solution,0",irony,not-offensive,sadness,173.95207742258697,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
29921,"this lady didnt get desired thing fron modi govt now angry everyone getting anything
mere nai diya phir usko kyun ,-1",non_irony,not-offensive,anger,594.9562920797531,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
29250,"where took one cup tea the price mig you where paki jets bombed inside indiawatch bakhshi interview indian oldi war mongrarhe said pak want can bomb 10k indian soldiers but bombs droped near places this was strick ask modi,1",non_irony,not-offensive,anger,976.1063404309756,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
13824,"modi said 15l per family never happened the same way rahuls promise just election gimmicks,0",irony,not-offensive,anger,376.64874769556303,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
87381,"when did cbi officers fight came out open media alok verma when did supreme court judges came out public speak out yes congress also did all these buy not bad like modi govtif you guys still not realizing will all see how slow the democracy dies,1",non_irony,not-offensive,anger,878.7496091250867,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
72788,"first get karykarta quality you then you can run for parshad post,1",non_irony,not-offensive,optimism,-114.13736779107002,"['celebrity_&_pop_culture', 'news_&_social_concern', 'sports']"
156054,"native its small village all are middle class lower class family who are innocent living simple life they are having very good opinion abour modi govt this made happy,1",irony,not-offensive,joy,769.624431793289,"['news_&_social_concern', 'diaries_&_daily_life', 'family']"
141064,"pakistan will not think about retaliating pakistan will retaliate they mess with pak again there will bigger surprise price this time under sick modi india will remain sickular,-1",non_irony,not-offensive,anger,1503.3253391656817,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
150044,"thats congress government gave the money that useless people and now modi sir have gave money all the peoples india without any partiality,-1",irony,offensive,anger,108.26145289842698,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
121788,"watched 1st 10min lost debate before started the one hand wants talk abt issues the same breath spreads fake news that modi does facial rahul kanwal didnt show courage expose this fake news
,-1",non_irony,not-offensive,anger,-340.21239793207883,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
54965,"india shoots down satellite joining space superpowers modi breitbart ,-1",irony,not-offensive,anger,457.88308896297406,"['news_&_social_concern', 'science_&_technology', 'learning_&_educational']"
18061,"waiting for show how rahul gandhis nyay will hurt india’ fiscal math and ’ impossible and irresponsible promise like she said when per year was announced modi ,-1",non_irony,not-offensive,anger,694.6182090423678,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
153813,"another reason could that modi was the sitting gujarat and hence was appropriate for him contest one seat from gujarat the other from the allimportant state the seat hinduism varanasi,1",non_irony,not-offensive,optimism,-76.20377112842304,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
28648,"see our response thatmodi just watching thisapna ghr sudhar len pehly phr dusry ghr jhanken,0",non_irony,not-offensive,anger,-89.98450970283604,"['film_tv_&_video', 'celebrity_&_pop_culture', 'news_&_social_concern']"
86313,"think multiple time before relly pakistan afghan issue dont take any decision haste will have longer consequences for west east and stabalise afghan with peace but dont trust taliban and pakistan,0",non_irony,not-offensive,anger,98.39556799260403,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
90421,"why does opposition expect modi fair was power for years have you not learned anything ,1",non_irony,not-offensive,anger,147.43201997835297,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
25518,"commissioner needs hang his head shame for not stopping such criminal use political parties and not stopping party power from misuse resources ,-1",irony,offensive,anger,579.0673060330442,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
77819,"really burning because modi announced ,1",irony,not-offensive,anger,-3.836805130875998,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
161000,"today thoughtwhy modi wanted come again and how will benefitted him and thought why other parties member wanted come againi shocked think nation first then for himself hind,-1",non_irony,not-offensive,sadness,617.183510943763,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
51567,"when modi just shout down his latest ubi satellite launched days back with much drama what else can ,1",irony,not-offensive,anger,44.06042047833404,"['news_&_social_concern', 'science_&_technology', 'film_tv_&_video']"
13715,"had electricity when mms left modi did the last mile and claiming did 100 whole india can’ electrified years impossible,-1",non_irony,not-offensive,sadness,1037.6700321648689,"['news_&_social_concern', 'diaries_&_daily_life', 'science_&_technology']"
38029,"the same guy who was leading the rbi when all the bank mess happened did take his cut all these ghotala must have doubt coz where left could have never thought that modi can recover country from there and restore the banks after his big loot ,-1",non_irony,not-offensive,anger,-168.19588015461602,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
82812,"modi sir started his election campaign with bang such magical speech meerut more follow will rally for month 7075 seats will come additional ,1",irony,not-offensive,joy,587.1760025856393,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
8208,"imran should act abduction pak modi our has role check violence states more those are ruled his party,1",irony,not-offensive,anger,127.711997409675,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
24049,"opportunity improve life quality modi enforcing handicap rahul which better ,1",non_irony,not-offensive,optimism,575.9131478134203,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
30496,"modi will you please answer why “agriculture growth the past years the lowest since economic reforms began” ,-1",non_irony,not-offensive,sadness,165.74135174357298,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
104409,"lol the reason ,1",non_irony,not-offensive,joy,-31.553758191012008,"['diaries_&_daily_life', 'other_hobbies', 'relationships']"
96663,"its good see many chowkidar handles when scroll through seems there revolution only has such following none other such influencer ,1",irony,not-offensive,joy,109.19208808719102,"['news_&_social_concern', 'film_tv_&_video', 'other_hobbies']"
69071,"very brazenly letting down the achievements our scientists hate towards modi for the sake few votes,-1",irony,not-offensive,anger,207.52668739148493,"['news_&_social_concern', 'science_&_technology', 'learning_&_educational']"
45088,"modis address nation was sounding like teacher explain science and students thinking yhe kya bol rahi hai ,0",irony,not-offensive,anger,433.486484142011,"['news_&_social_concern', 'learning_&_educational', 'youth_&_student_life']"
108766,"its the latter could one things you arent really interested that line work and despite your best efforts you are never going master the field there isnt anything you like learning about despite criticism you may have oversized ego,1",non_irony,not-offensive,anger,824.50861591204,"['learning_&_educational', 'youth_&_student_life', 'diaries_&_daily_life']"
42767,"1221pm modi address india watch ,0",non_irony,not-offensive,anger,158.667092706174,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
35569,"modi gets 400 seats guillotine law passed kill off corruptdisproportionate income people india thats demand ,0",irony,not-offensive,anger,490.7102891697861,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
162892,"yes oppose modi just prove that they are extra intelligent poor people poor mentality finding fault modi like showing torch sun see you 23rd may ,0",irony,offensive,anger,472.71376276302516,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
50134,"modi afraid single vote can make difference his defeat and save india from bad policies modi,-1",irony,not-offensive,sadness,570.9334360322651,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
109717,"sure you feel nirav modi and anil ambani worked very hard that’ the problem india staring sir,1",non_irony,not-offensive,anger,301.34559769193504,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
60395,"congratulations isro modi,0",irony,not-offensive,joy,195.14210947815403,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
71039,"this type test needs courage for shootingif there any wrong govt might got the blamethank god have modisuch great leader,1",non_irony,not-offensive,optimism,129.33809317062796,"['news_&_social_concern', 'diaries_&_daily_life', 'learning_&_educational']"
51269,"your rss supporting modi was also banned enter usa,1",irony,not-offensive,anger,-62.52145245218698,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
9995,"modi you have destroyed every major institution indiarbi cbi scarmed forceswith your strong hands and made them fall knees you must removed prepared leave “़ोा ेे ा ा ुा ा ़ोा ेे ाा।,1",non_irony,not-offensive,anger,298.1772277454113,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
21161,"you are far the best today’ kabir bedi wishes elected again actor replies his campaign via namo app ,1",irony,not-offensive,joy,272.0960286303541,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
114015,"thakur sahib yeh modi hai aur sab mumkin hai none dares act agst any action tht favours bjp has habit morning walk remember haren pandya,1",non_irony,not-offensive,anger,-97.60480147834396,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
95158,"fuk wonder these news traders hate the current regime especially modi ,-1",irony,not-offensive,anger,126.10224836226799,"['news_&_social_concern', 'business_&_entrepreneurs', 'celebrity_&_pop_culture']"
140660,"modi creating republic oligarchs putin has done russia,0",irony,not-offensive,anger,378.7556415348921,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
105122,"modi hate has blinded much that intelligence now competing with papu drdo said 2012 that theyre capable developing the tech provided govt gives fund ahead for testing upa gave none modi gave the support couple yrs back hence test was possible,-1",non_irony,not-offensive,anger,472.77187206777137,"['news_&_social_concern', 'science_&_technology', 'business_&_entrepreneurs']"
38154,"people khairana not buying into modibjps jingoism ,0",non_irony,not-offensive,anger,383.05650222268105,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
88758,"known with intention provoking people was detained this right fight hunger but right incite people against state for the hatred modi jean dreze was one prominent architect indias disastrous economic policies during upa thru nac ,1",irony,not-offensive,anger,1297.0063948525042,"['news_&_social_concern', 'diaries_&_daily_life', 'business_&_entrepreneurs']"
123509,"success for indian agencies against fugitive jeweler nirav modi london court denies him bail for second time ,1",irony,not-offensive,anger,771.4085305185702,"['news_&_social_concern', 'celebrity_&_pop_culture', 'business_&_entrepreneurs']"
124610,"imran khan wasnt able educate pakistani people how earlier presidents were favouring terrorism now imran can let his people know giving example modi governance since his election manifesto included evasion terrorism pakistani land,1",irony,not-offensive,anger,929.2157098780509,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
86209,"this the way modi runs the country looting with his friends all these years ,0",irony,not-offensive,anger,379.582880171772,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
35698,"all means his opponents should take his policies and challenge him they are doing his equally the media should take modi and challenge his claims and his argues its not contest end,0",non_irony,not-offensive,anger,490.58049321098036,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
106828,"you check archive which your blind hate for modi will never allow you will find same rajan endorsing and appreciating the way these numbers are calculated people understand now know veey well why all you are rattled and why you want stop modi,-1",non_irony,not-offensive,anger,-16.57739841244988,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
44022,"rtthrrt thrglobal biopic indian prime minister narendra modi sparks propaganda controversy ahead elections ,-1",irony,not-offensive,anger,362.4814674551583,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
116467,"love modi government,1",irony,not-offensive,joy,81.320077385112,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
11652,"misleading headlines
sister accused cursed the girl who made video their joblessness gift modi
their hatred deeprooted bigotry the society which was under veil for long time
modi result bigotry not cause bigotry,-1",irony,not-offensive,anger,1312.3232492708364,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
51083,"but modi will win 2019,1",non_irony,not-offensive,optimism,282.84530223415106,"['news_&_social_concern', 'sports', 'celebrity_&_pop_culture']"
119227,"all middle class voterplz check bank account before voting huge sum might deducted from your account for not maintaining minimum balance these money gone nirav modichoksi etc but collected from your pocket,1",non_irony,not-offensive,anger,470.9649162585083,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
29346,"original news liye newspaer pdhe plz bhakt are strictly prohibited causes anti modi feelingss,1",non_irony,not-offensive,anger,534.854402660723,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
84252,"well said the the transformational reformstr are wonders for futuristic glory india investors wait watch transitory period almost over and investors are jubilant initiate investments momentumunder the wonder leader shri narendra modi salute,0",irony,not-offensive,joy,625.6727606520212,"['business_&_entrepreneurs', 'news_&_social_concern', 'science_&_technology']"
144590,"all commissioners handpicked modi cant even dare say word against modi whatever may modis crime ,0",non_irony,not-offensive,anger,317.4343607371201,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
86628,"they mock modi their lives depend they have sold their souls,0",irony,offensive,anger,327.2280389434581,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
111356,"was message paf never intend hit your military targets was clear cut message dont mess with use for modi election campaign,-1",non_irony,not-offensive,anger,282.82375913590397,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
49261,"the guy who deals with publicity management bjp and chowkidar modi should receive some high level award such his work ,1",irony,not-offensive,joy,409.20981075034615,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
156765,"maximum schemes minimum welfare how the modi govt fell into the same trap upa ,0",non_irony,not-offensive,sadness,239.88971444232803,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
8593,"certainly odisha not bjp dominated state due its lack leadership but has huge modi fan base,-1",non_irony,not-offensive,sadness,186.75997191563795,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
88542,"your right and congratulations for nrendra modi sir,1",irony,not-offensive,joy,148.973951064298,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
106823,"now days ’ the modi code conduct not model code conduct,0",irony,not-offensive,anger,3.026189930900003,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
