,0,Irony,Offensive,Emotion,Stress Score,Topics
8577,Yesterday the #NHL cancelled games up to November 1st. The Winter Classic and All-Star game could be in jeopardy soon. ,irony,not-offensive,sadness,-74.50730275902501,"['sports', 'gaming', 'news_&_social_concern']"
32215,Christian Ponder may not be a good QB but after reading this it's hard to hate him. #FirstClass ,irony,not-offensive,anger,300.12397025853,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
30226,Act of Valor was just as good the 2nd time watching it ,irony,not-offensive,joy,86.13041464259004,"['film_tv_&_video', 'diaries_&_daily_life', 'arts_&_culture']"
814,Conor McGregor (@TheNotoriousMMA) may just be the @user of Ireland. I wonder if crime rates drop down to 0% there too. ,irony,not-offensive,joy,5.053942959035959,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
25825,Big week... Revs tonight\u002c Ice Cream @user Tuesday\u002c and upstairs for Project X @user Wednesday for Halloween. Totally buzzing. ,non_irony,not-offensive,joy,46.174508448184966,"['food_&_dining', 'diaries_&_daily_life', 'other_hobbies']"
12525,LEO SEASON we still at it!!!! JETT LOUNGE this Sunday !!!!  ,irony,not-offensive,joy,182.13153923648304,"['sports', 'gaming', 'diaries_&_daily_life']"
8238,"tonight I dreamed of being in Orleans with the bus lines of Milan, and the IperCoop of Piazza Lodi instead of the Carrefour of Place d'Arc. ",irony,not-offensive,joy,406.0266055868463,"['travel_&_adventure', 'diaries_&_daily_life', 'arts_&_culture']"
12530,Are you confused about Scott Walker's position on the 14th Amendment?   So is he.  ,irony,not-offensive,anger,132.160622612299,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
35317,Refer a friend to serve and you could win an Apple Watch! See how and enter by Friday at ,non_irony,not-offensive,joy,-121.338164043386,"['business_&_entrepreneurs', 'science_&_technology', 'other_hobbies']"
1537,David Price's night may have just ended with his 6th strikeout of the game. ,irony,not-offensive,sadness,411.425972662607,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
35189,I really hope the weather picks up for Saturday and Sunday! A wedding and Foo Fighters ,irony,not-offensive,joy,-95.81726981984505,"['music', 'diaries_&_daily_life', 'arts_&_culture']"
10527,"Bionic Commando, Dark Void, Devil May Cry 4, Resident Evil 5, 6 &amp; Op Raccoon City, Lost Planet 2, Asura's Wrath, the proof is there. ",non_irony,not-offensive,anger,525.0392876149842,"['gaming', 'film_tv_&_video', 'diaries_&_daily_life']"
3158,"He was like the sun, the flowers and the moon. - Bob Dylan on George Harrison (It seems that my post has... 
Miss USA or prom queen the world may never know 
3 days to convince some one to come to lana del rey with me in may lol 
iPod charged and new music loaded for tomorrow's ride with @user 
Don't worry if you missed National Ice Cream Day, its ice cream day at our hotel every Sunday w/ our Sweet Summer... ",non_irony,not-offensive,joy,224.84284355177704,"['music', 'celebrity_&_pop_culture', 'arts_&_culture']"
31823,@user r u going to digi tomorrow ,irony,not-offensive,anger,246.42383911179806,"['diaries_&_daily_life', 'other_hobbies', 'news_&_social_concern']"
36086,I understand that the Saints D is terrible but Manning is unreal. Makes EVERY 3rd down. Impressive. ,irony,not-offensive,joy,191.585849950675,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
11221,Kinder Morgan Foundation grants of $1000-$5000 for education are due the 10th of each month. ,irony,not-offensive,optimism,-124.33773570941403,"['news_&_social_concern', 'learning_&_educational', 'youth_&_student_life']"
35809,"Gay night tomorrow, the best night everrrrrrr ",irony,not-offensive,joy,106.77163887396493,"['diaries_&_daily_life', 'news_&_social_concern', 'other_hobbies']"
20058,Both Hernanes and Alex Sandro are expected to start and make their Juventus debuts on Saturday. (via GdS) ,irony,not-offensive,joy,-397.12177418014284,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
22755,This Olive Garden commercial is so stupid. Why would I want old pasta tomorrow? ,irony,offensive,anger,218.53958628110615,"['food_&_dining', 'diaries_&_daily_life', 'family']"
4898,Cringed a few times during that interview on @user felt bad for Brock Lesnar. Summerslam is this Sunday by the way ,irony,not-offensive,sadness,241.56071370781308,"['sports', 'celebrity_&_pop_culture', 'film_tv_&_video']"
9197,Coverstory on the Italian Guitar Club magazine. Grazie Mille ragazzi! Pick up a copy &amp; see u in Milan on Oct 8! #GusG ,non_irony,not-offensive,joy,348.8720988518951,"['music', 'arts_&_culture', 'news_&_social_concern']"
516,"Cate Blanchett Sighting: New York, New York/ 8th Annual Museum of Modern Art Film Benefit, honoring the actress 
Us Magazine Sam Smith Writes and Records the New James Bond Theme Tune for the Upcoming M... #news #May #Omg #NFB 
Sharknado on Twitter: &amp;quot;Will April make it to 'Nado number 4? YOU DECIDE! VOTE now using ... 
watching Eclipse with Katiee then Vampire Diaries for the rest of the night(: 
@user @user @user  Right then....you here Thursday with Justin? 
@user pokito but I missed you lol you better tell me tomorrow what went on in Mr.Mickels class(: 
Hillary's Computer Tech to Plead the Fifth; Congress May Offer a Deal - The New American 
@user Thanks for the S/O!  Be sure to check out our free pizza promotion tomorrow with a purchase of $25 or more! See you soon - Kyle 
@user Chelsea and Liverpool lost now I hope Milan wins and Juventus lose tomorrow and it will be the perfect weekend 
Tanzania 0 #Nigeria 0 at half-time. Proof that Sunday Oliseh's new team will need time. Tough game so far for the Super Eagles. #afcon2017 
@user Hey Tony saw you in the pit at Foo Fighters on Saturday, but didn't have the chance to say hi! Did you have a good evening? ",non_irony,not-offensive,joy,1953.8136823298744,"['film_tv_&_video', 'celebrity_&_pop_culture', 'news_&_social_concern']"
33835,The Weeknd is releasing on the 28th but I can't even be excited because Frank Ocean ruined the whole getting excited for an album thing. ,irony,not-offensive,sadness,221.12835094943196,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
14725,@user are you going to maths tomorrow morningg?? xx ,non_irony,not-offensive,joy,14.248233159133008,"['learning_&_educational', 'youth_&_student_life', 'diaries_&_daily_life']"
10412,Want to be part of the excitement this December for the Conor McGregor fight? - ,irony,not-offensive,joy,180.414859698236,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
14149,@user when that sun is high in that Texas sky\u002c I\u2019ll be buckin it to county fair. Amarillo by morning. Amarillo ill be there... ,non_irony,not-offensive,joy,674.9897124126061,"['travel_&_adventure', 'diaries_&_daily_life', 'news_&_social_concern']"
4355,Can't wait til Next week I'll be back reunited with the PS4 yall players safe til September 25th doe believe dat ,irony,not-offensive,joy,258.36605514955903,"['gaming', 'diaries_&_daily_life', 'news_&_social_concern']"
15275,@user suddenly remember he is ex Milan player.. and also his 1st goal for Milan when he was just &lt;1 minutes on the field... ,irony,not-offensive,joy,204.959915994123,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
16680,@user Happy Birthday Pope Francis! May the almighty God bless you always and keep you strong for all Christians! ,irony,not-offensive,joy,-23.940561997005982,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
27978,ASTROLOGY NUMEROLOGY NOW host Z. STARMAN talks about the upcoming MERCURY RETROGRADE that begins November 6th  -... ,irony,not-offensive,joy,133.35816625941,"['news_&_social_concern', 'arts_&_culture', 'learning_&_educational']"
26973,I talked to an @user rep that Carly Fiorina may have trained and he was excellent. 7 pm in Ontario and I had my new unit before noon next day. ,irony,not-offensive,joy,-182.4795877033351,"['sports', 'news_&_social_concern', 'diaries_&_daily_life']"
2738,"@user John Carter XD y mira que me cae bien Taylor Kitsch desde ke vi Friday Night Lights,al final he visto series,Strike Back y Fringe."" ",irony,not-offensive,joy,864.249460799315,"['film_tv_&_video', 'celebrity_&_pop_culture', 'music']"
4148,Dear us and Australian Directioners just knw tht cuz I live in Ireland doesn\u2019t mean I knw Niall r country may see small but it\u2019s not :) x ,irony,not-offensive,joy,77.22588645940098,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
20632,#Mets 3B David Wright went 1 for 3 with a walk in his first rehab start since going on the DL in April with a... ,irony,not-offensive,sadness,740.025264115798,"['sports', 'news_&_social_concern', 'fitness_&_health']"
5429,@user hope you and dean Ambrose beat the hell of bray Wyatt at summerslam and see you on smackdown tomorrow on Syfy ,irony,offensive,joy,-540.2708056859387,"['sports', 'film_tv_&_video', 'celebrity_&_pop_culture']"
4623,@user I only go once a week or so ... That may be because I work at home and going to Dunkin means leaving my house ,irony,not-offensive,sadness,-151.39463383200703,"['diaries_&_daily_life', 'food_&_dining', 'travel_&_adventure']"
10613,Rick Perry came in behind John Kasich and will not be in the debate tomorrow. He's fallen quite a bit since being... ,irony,not-offensive,sadness,646.4843347338309,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
16669,"made $145 in tips tonight, my dad's fixing my car tomorrow, &amp; I'm buying my Eric Church ticket soon, I guess my moods a little better. ",irony,not-offensive,joy,593.3005721210865,"['diaries_&_daily_life', 'music', 'relationships']"
25307,@user now that the attitude of a real winner. Hey\u002c Justin Biebers manager may just be looking to sign you ... ,irony,not-offensive,optimism,213.245333922086,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
9936,"iPad Pro, Apple TV expected to take center stage Wednesday: It's that time of the year. For five years, Apple ... ",irony,not-offensive,joy,138.86756949161196,"['science_&_technology', 'business_&_entrepreneurs', 'film_tv_&_video']"
29194,#MLB #Mets David Wright will not be in the starting lineup for Wednesday's game vs Philadelphia. ,non_irony,not-offensive,sadness,450.0140159217461,"['sports', 'news_&_social_concern', 'gaming']"
23849,Justin Bieber is coming to Portland but my mom thinks he's a creep and his concert is on a Sunday so guess who doesn't get to go. ,irony,offensive,sadness,322.14042600471834,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
33666,@user the Galaxy Note 5 and S6Edge+ announcement is August 13th! ,irony,not-offensive,joy,-176.60035833358603,"['science_&_technology', 'business_&_entrepreneurs', 'learning_&_educational']"
31064,alright that was the last one for tonight I promise I'll do Zayn and Liam spams tomorrow. keep voting! #EMABiggestFans1D ,non_irony,not-offensive,joy,130.510101995017,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
4432,Matt we need to make plans for tomorrow night with some dimes ,non_irony,not-offensive,joy,78.98411886692396,"['diaries_&_daily_life', 'sports', 'other_hobbies']"
13485,*****3rd daY******====*====I wish y0u a very haPpy Eid fr0m the c0re of my heart...  Eid-ul-fitar mubArak ,non_irony,not-offensive,joy,579.6068954228971,"['arts_&_culture', 'family', 'diaries_&_daily_life']"
16069,Field trip to October 12! Breakfast at Jungle Island\u002cmeet Deca members from other schools and find out what Deca is all about :) ,non_irony,not-offensive,joy,-109.423271719009,"['travel_&_adventure', 'diaries_&_daily_life', 'food_&_dining']"
35859,Wilt Chamberlain dropped 100 PT\u2019s with NO THREES ! C\u2019mon son ,irony,not-offensive,anger,136.00757531859898,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
34788,This Sunday is National Ice Cream Day. Do you have a favorite ice cream book? ,non_irony,not-offensive,joy,125.93380859055404,"['food_&_dining', 'arts_&_culture', 'diaries_&_daily_life']"
3506,Norman Reedus I'm a huge fan of The Walking Dead is there going to be a 6th season ,irony,not-offensive,joy,-78.30181034135403,"['film_tv_&_video', 'celebrity_&_pop_culture', 'arts_&_culture']"
5277,"Me: ""Justin Bieber is gonna be in that 2nd Zoolander movie but only for a quick scene cause he dies""  Dad: ""good"" @user 
@user it's horrible, complete fail compared to the 1st movie. Rather watch Ant-man or Entourage. ",irony,not-offensive,anger,658.3376834122187,"['film_tv_&_video', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
5547,Sales Joke of the Day (August 20) IBM.  @user @user #thewatercooler ,irony,not-offensive,joy,-201.65222858157205,"['business_&_entrepreneurs', 'news_&_social_concern', 'science_&_technology']"
32743,Awesome ending to Raw tonight! SummerSlam is gonna be amazing! ,irony,not-offensive,joy,54.343169388978936,"['sports', 'film_tv_&_video', 'gaming']"
16340,Griffin on fire tonight- 23 points at the end of the 3rd. Jordan with a double double 11points\u002c SIXTEEN boards. LAC up 69-64 #clippers #NBA ,non_irony,not-offensive,joy,495.4967968605682,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
17188,Meet the new NSA; Major General MT Monguno.... May almighty God give him the wisdom to defeat Boko Haram! Amen ,irony,not-offensive,optimism,91.018010723071,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
33570,@user Hartzel and I are planning to watch Ant-Man tomorrow at SM Pala-pala but the problem is that it's only available in 3D ,irony,not-offensive,sadness,-197.890448551576,"['film_tv_&_video', 'diaries_&_daily_life', 'arts_&_culture']"
35194,"14th Amendment, EqualProtection and due process under the law, that and SCOTUS declared marriage a civil right. Next ",irony,not-offensive,optimism,73.91177860408602,"['news_&_social_concern', 'diaries_&_daily_life', 'family']"
9833,"@user @user @user @user @user sorry I cant go to Digi tomorrow, I really want to.. ill never meet you all ",non_irony,not-offensive,sadness,70.55630699946795,"['diaries_&_daily_life', 'travel_&_adventure', 'other_hobbies']"
3746,Season 4 of Longmire Premieres tomorrow September 10 on Netflix. Great Cast &amp; Crew. I play the role of Guy. Enjoy! ,non_irony,not-offensive,joy,13.95103945991903,"['film_tv_&_video', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
32901,Christmas may be over but it's never too late to buy ya girl some Justin Bieber tickets:))) ,non_irony,not-offensive,joy,316.05922036386204,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
28626,"National Herald tainted Rahul Gandhi now discloses Vacations before going AWOL: New Delhi, Dec 27 (PTI) Congre... 
Might fuk with Greenville tomorrow night !! 
And1 going be at Allderdice tomorrow. Wonder if my brother wants to go 
Tbh, I was eating and forgot about TVD and I have OCD when it comes to missing the first part of the show... So...I will wait till tomorrow."" ",irony,not-offensive,sadness,1250.5483535584685,"['news_&_social_concern', 'film_tv_&_video', 'diaries_&_daily_life']"
24201,"@user Lolla will be my 14th time seeing you, but I feel like I'm cheating on you by leaving early to see Paul McCartney. #forgiveme"" ",irony,not-offensive,sadness,419.7963748695841,"['music', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
19535,Mrs arrested 4 streaking @ Crufts. Judge gave her 2nd place with her puppies but said her Afghan could do with a trim ,irony,not-offensive,sadness,189.54763506055195,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
19900,Iran Says New U.S. Visa Rule May Violate Nuclear Pact: A restriction on visa-free travel to the United ... #world ,irony,not-offensive,anger,296.829240819085,"['news_&_social_concern', 'travel_&_adventure', 'business_&_entrepreneurs']"
7478,idk if I should see the movie with Jennifer Lawrence or Paranormal activity 4 on Saturday. ,irony,not-offensive,joy,310.60476475660914,"['film_tv_&_video', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
35707,"@user the 14th amend applies to race pal, get the states to ratify one for gay marriage. I am trying to work and participate here bud"" ",irony,not-offensive,optimism,72.49323158941499,"['news_&_social_concern', 'diaries_&_daily_life', 'relationships']"
29282,From the Mouth of God My Heart Speaks  19 July 2015 Words for Today Feelings and Watchman!!!  Thank you God for... ,non_irony,not-offensive,optimism,-214.5523160457648,"['arts_&_culture', 'film_tv_&_video', 'diaries_&_daily_life']"
11009,@user lmaooo not even it was most def in like 8th grade I think ? When I went to Berkmar ! ,non_irony,not-offensive,joy,82.02600484325197,"['learning_&_educational', 'youth_&_student_life', 'diaries_&_daily_life']"
31487,All I can think about is getting Dunkin doughnuts tomorrow morning before leaving for western #fatlife ,irony,not-offensive,joy,300.489648359429,"['food_&_dining', 'diaries_&_daily_life', 'family']"
9092,gonna make a mariah carey cover tomorrow ,irony,not-offensive,joy,-174.69067465716594,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
28833,Going to First Lady Michelle Obama's Beating the Odds Summit tomorrow! #excited by cameyyboo #WhiteHouse #USA ,irony,not-offensive,joy,425.5407186979652,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
10672,"Paul Dunne shot -6 (-12) is tied for the lead into the final day tomorrow, Harrington shot a -7 (-10) &amp; is 2 off the lead. #OpenChampionship ",non_irony,not-offensive,joy,259.6293659901679,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
28157,Whoa! Carly Fiorina had interview with Chris Matthews after 1st debate and even he was impressed... ,irony,not-offensive,joy,267.5027215810749,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
33598,musicality / Sam smith - I've told you now trying to create new choreo. may i tatry ako sa september 1. ,non_irony,not-offensive,joy,217.55925779918104,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
11139,"1,001,940 people could have seen 'Muslims in Nepal' since its 1st mention until it became a Trending Topic. #trndnl ",irony,not-offensive,joy,626.5193728353571,"['news_&_social_concern', 'diaries_&_daily_life', 'arts_&_culture']"
18411,The 10th Annual Colossal Castle Contest has begun!:  The Colossal Castle Contest is one of the longest running L... ,irony,not-offensive,joy,-163.85130515512108,"['film_tv_&_video', 'arts_&_culture', 'other_hobbies']"
2504,@user Please tell me you're going in Celebrity Big Brother on Thursday. ,irony,not-offensive,joy,253.73307097755108,"['film_tv_&_video', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
36283,Thursday nights just wont be the same without Waterloo Road ,irony,not-offensive,sadness,-32.943409795223005,"['diaries_&_daily_life', 'travel_&_adventure', 'music']"
36350,For the 1st time in 30 years. For your splendiferous entertainment. Arts in Lechlade proudly presents an OLD... ,irony,not-offensive,joy,226.27086612256102,"['arts_&_culture', 'diaries_&_daily_life', 'other_hobbies']"
17670,I'm not going to school Friday for Chris brown fuck that ,irony,offensive,anger,161.71777356431699,"['youth_&_student_life', 'learning_&_educational', 'diaries_&_daily_life']"
4846,@user For sure! Tuesday noon ET live on UND.com ... #Irish and Nebraska ... I know you'll be tuned in! ,non_irony,not-offensive,joy,87.94870045995795,"['sports', 'film_tv_&_video', 'news_&_social_concern']"
5074,Here\u2019s video of the unimaginable goalline fumble that may have cost Florida a shot at the National Championship: ,irony,not-offensive,joy,252.93469961278504,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
10847,Looks like Rick Perry may be the first out in the #GOP race.  He's out of money already! ,irony,not-offensive,anger,214.0059269482331,"['news_&_social_concern', 'celebrity_&_pop_culture', 'business_&_entrepreneurs']"
16872,"Wi a live up the higt life, smoke from day till twilight, smoke from night till sun light...(8) #Movado -high like ",non_irony,not-offensive,joy,1068.442393993363,"['diaries_&_daily_life', 'music', 'other_hobbies']"
34586,"Frank Gifford was 'Monday Night' magic behind the mic, always 
All I did was look up """"Kpop"""" and BTS was on the 3rd row.  This makes me feel proud ????"" ",irony,not-offensive,joy,343.23311835577925,"['music', 'celebrity_&_pop_culture', 'news_&_social_concern']"
36367,If only it was possible to be part of the Blackpool Illuminations concert on Friday! ,irony,not-offensive,joy,193.28362524301096,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
16055,@user can't wait to see you next Tuesday at Shawn's concert at @user ,irony,not-offensive,joy,-198.36977825506602,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
35407,"Boko Haram member Mahamat Moustapha, a Nigerian, alleged to have been the mastermind of the June suicide attack in... 
#SportsNews Leo eyes record, Barca seek boost - In the week that he marked the 10th anniversary of his competitive... ",irony,not-offensive,sadness,220.97378445962892,"['news_&_social_concern', 'sports', 'celebrity_&_pop_culture']"
5494,"Phillies have allowed 8 runs to the Red Sox in the 4th. Alec Asher allows 7 runs, Jerome Williams then gives up solo HR ",irony,not-offensive,anger,333.92068427991205,"['sports', 'news_&_social_concern', 'gaming']"
9650,@user All Congress party members have stopped taking bath as it may mean they are support Modi's #SwachhhtaAbhiyaan ,irony,not-offensive,anger,-189.06042192704908,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
36036,"Today was the issue of Assam templr.  Love to see wht issue Rahul Gandhi discovers tomorrow. All these r facades, main is Herald case ",irony,not-offensive,optimism,135.04866594372697,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
16499,@user Welbeck 2nd goal vs Galatasaray had that been RVP do you think he gets away? ,non_irony,not-offensive,anger,-379.8694246930159,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
3123,Golf tomorrow morning test out the back looks like it will be sunny but cold ,irony,not-offensive,joy,242.60332138994093,"['sports', 'diaries_&_daily_life', 'news_&_social_concern']"
16311,Sad that the new episode for Naruto on thurs is basically a filler again ,irony,not-offensive,sadness,106.85163420937897,"['film_tv_&_video', 'celebrity_&_pop_culture', 'news_&_social_concern']"
4715,Congrats Ylianna Guerra for getting 1st runner up in the Miss USA Pageant!! ,irony,not-offensive,joy,-1.093359711053031,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
11330,"Roma edge Juventus, United taste defeat: The headline game in Italy went Roma's way on a busy Sunday for the g... ",irony,not-offensive,joy,-141.96637258054702,"['sports', 'news_&_social_concern', 'gaming']"
24621,"1st this @user writer implies I copied Kpop, now lectures me to know it. What's the Korean word for backtrack? 
A lot easier to check @user Twitter than hunt through for the #UCA final score on Sat nights 
These PAUL McCartney tix are burning a hole in my pocket. Want em? Call 313-298-1043 after the 2nd Paul/Beatles song. It WILL happen. 
Who was the best 'Saturday Night Live' host? Amy Schumer. 50% of voters agree with me. 
@user Can\u2019t wait to see you guys tomorrow sa GT at SM Bacolod! :)) 
@user @user  I saw the movie Sunday, Curtis. Max looks like a hybrid of Jesse Eisenberg, JP from Grandma's Boy and Marilyn Manson ",non_irony,not-offensive,anger,425.62594655043887,"['music', 'celebrity_&_pop_culture', 'news_&_social_concern']"
23804,Carly Fiorina's rise in polls may mean inclusion in the next GOP debate ,irony,not-offensive,optimism,362.00757193715106,"['news_&_social_concern', 'celebrity_&_pop_culture', 'business_&_entrepreneurs']"
28038,Thank you to all of our parents& guidance staff for our annual Academic Signing Day on Thursday! I\u2019ll post photos soon! ,non_irony,not-offensive,joy,-208.631653012499,"['learning_&_educational', 'youth_&_student_life', 'news_&_social_concern']"
32404,"There's a Juventus party tonight and you're all invited! Happy 4th birthday,#JStadium! #UNESCOCup #ForzaJuve ",irony,not-offensive,joy,103.39544208855102,"['sports', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
9824,@user JELLY. Mine won't be here until Friday because Amazon are tight with shipping dates :(. ,non_irony,not-offensive,sadness,404.113788885909,"['diaries_&_daily_life', 'food_&_dining', 'business_&_entrepreneurs']"
8742,@user @user that Hiroshima fella going well. So a few tipping Dustin Johnson for 1st round leader at 25/1 and see he is at it ,irony,not-offensive,joy,301.14838470483716,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
29213,"Murray about to get sent home. That ranking means nothing man, 15th vs 1st and you would never know...#usopen2015 ",irony,not-offensive,anger,-226.2880972228412,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
30098,White Sox take the lead on CSN! ,irony,not-offensive,joy,9.17028368863399,"['sports', 'news_&_social_concern', 'gaming']"
19890,"@user Just listened to Black Friday, Kendrick just dumped a truckload of bars onto that beat, boy went HARD!"" ",irony,not-offensive,joy,-13.023318625043068,"['music', 'celebrity_&_pop_culture', 'news_&_social_concern']"
13620,"Praying for 1st and 2nd wave of leaders going to the \""""X Factor\"""" Leadership Retreat tomorrow! Counting down till I join u all Friday #impact ",non_irony,not-offensive,optimism,366.38066642258497,"['news_&_social_concern', 'diaries_&_daily_life', 'business_&_entrepreneurs']"
31194,"Planned Parenthood Sells Intact Aborted Babies, One ""Just Fell Out"" of the Womb ",irony,offensive,sadness,-71.57088389318106,"['news_&_social_concern', 'diaries_&_daily_life', 'film_tv_&_video']"
4266,Burgundy Wave: Los Angeles Galaxy vs Colorado Rapids - Game Preview: On Friday September 14th the Colorado Rapid... ,non_irony,not-offensive,joy,64.81778410794698,"['sports', 'gaming', 'news_&_social_concern']"
8574,Watching the Kurt Cobain doc while making bday cake and FODMAP approved pizza sauce. Good Sunday of bday weekend. ,irony,not-offensive,joy,-33.75653987113995,"['celebrity_&_pop_culture', 'diaries_&_daily_life', 'film_tv_&_video']"
9230,Saw a sign at my local Dunkin about pumpkin coffee being available tomorrow. With this 90 degree weather I don't think I'm ready for that. ,irony,not-offensive,sadness,267.354295817838,"['food_&_dining', 'diaries_&_daily_life', 'news_&_social_concern']"
10282,Gucci plenty anima overweening may stretch the duo your concrete inpouring addition en route to case impetuous... ,irony,not-offensive,anger,469.797294910385,"['news_&_social_concern', 'diaries_&_daily_life', 'fashion_&_style']"
